Season,Position,Prize,Team,Player,Total Games,Total Wins,Total Score,Total Goals,Total Assists,Total Saves,Total Shots,Win%,Score per game,Goals per game,Assists per game,Saves per game,Shots per game
RLCS1,7.5,1100,MOCK-IT EU,PASCHY90,8,2,1450,2,4,12,15,25.0,181.25,0.25,0.5,1.5,1.88
RLCS1,7.5,1100,MOCK-IT EU,SIKII,8,2,1555,3,2,10,20,25.0,194.38,0.38,0.25,1.25,2.5
RLCS1,7.5,1100,MOCK-IT EU,TURBOPOLSA,8,2,1590,5,2,10,19,25.0,198.75,0.62,0.25,1.25,2.38
RLCS2,1.0,"50,000",FLIPSID3 TACTICS,GREAZY,30,22,7845,15,16,43,83,73.33,261.5,0.5,0.53,1.43,2.77
RLCS2,1.0,"50,000",FLIPSID3 TACTICS,KUXIR97,30,22,8895,26,19,47,93,73.33,296.5,0.87,0.63,1.57,3.1
RLCS2,1.0,"50,000",FLIPSID3 TACTICS,MARKYDOODA,30,22,7710,23,19,26,117,73.33,257.0,0.77,0.63,0.87,3.9
RLCS2,2.0,"25,000",MOCK-IT ACES,DEEVO,26,12,7105,13,20,48,59,46.15,273.27,0.5,0.77,1.85,2.27
RLCS2,2.0,"25,000",MOCK-IT ACES,PASCHY90,26,12,6810,21,13,50,60,46.15,261.92,0.81,0.5,1.92,2.31
RLCS2,2.0,"25,000",MOCK-IT ACES,VIOLENTPANDA,26,12,6795,14,9,40,70,46.15,261.35,0.54,0.35,1.54,2.69
RLCS2,3.0,"15,000",NORTHERN GAMING,MAESTRO,19,10,4785,18,7,21,67,52.63,251.84,0.95,0.37,1.11,3.53
RLCS2,3.0,"15,000",NORTHERN GAMING,MIZTIK,19,10,4520,9,12,25,43,52.63,237.89,0.47,0.63,1.32,2.26
RLCS2,3.0,"15,000",NORTHERN GAMING,REMKOE,19,10,4865,14,10,23,49,52.63,256.05,0.74,0.53,1.21,2.58
RLCS2,4.0,"10,000",TAKE 3,INSOLENCES,14,7,3560,6,6,24,28,50.0,254.29,0.43,0.43,1.71,2.0
RLCS2,4.0,"10,000",TAKE 3,RIZZO,14,7,3255,11,5,20,26,50.0,232.5,0.79,0.36,1.43,1.86
RLCS2,4.0,"10,000",TAKE 3,ZANEJACKEY,14,7,3420,10,7,11,40,50.0,244.29,0.71,0.5,0.79,2.86
RLCS2,5.5,"7,500",NRG,FIREBURNER,12,6,2910,7,6,25,33,50.0,242.5,0.58,0.5,2.08,2.75
RLCS2,5.5,"7,500",NRG,JACOB,12,6,2790,9,5,13,24,50.0,232.5,0.75,0.42,1.08,2.0
RLCS2,5.5,"7,500",NRG,SADJUNIOR,12,6,2910,8,7,13,26,50.0,242.5,0.67,0.58,1.08,2.17
RLCS2,5.5,"7,500",PRECISION Z,KAYDOP,12,4,3205,10,2,22,33,33.33,267.08,0.83,0.17,1.83,2.75
RLCS2,5.5,"7,500",PRECISION Z,SIKII,12,4,2900,9,6,22,23,33.33,241.67,0.75,0.5,1.83,1.92
RLCS2,5.5,"7,500",PRECISION Z,SKYLINE,12,4,2415,2,9,14,21,33.33,201.25,0.17,0.75,1.17,1.75
RLCS2,7.5,"5,000",GENESIS,ESPEON,6,0,1190,1,1,11,13,0.0,198.33,0.17,0.17,1.83,2.17
RLCS2,7.5,"5,000",GENESIS,KLASSUX,6,0,1010,1,2,6,11,0.0,168.33,0.17,0.33,1.0,1.83
RLCS2,7.5,"5,000",GENESIS,PLUTO,6,0,700,1,0,3,4,0.0,116.67,0.17,0.0,0.5,0.67
RLCS2,7.5,"5,000",ORBIT,GARRETTG,9,3,2975,9,3,15,29,33.33,330.56,1.0,0.33,1.67,3.22
RLCS2,7.5,"5,000",ORBIT,MOSES,9,3,1960,2,4,13,17,33.33,217.78,0.22,0.44,1.44,1.89
RLCS2,7.5,"5,000",ORBIT,TURTLE,9,3,1745,3,2,12,16,33.33,193.89,0.33,0.22,1.33,1.78
